Temperature (K),Applied field (T),Applied field angle (Â°),Critical current (A)
15.01,0.2,0,
14.99,0.3,0,920.46
14.99,0.5,0,718.52
14.99,0.7,0,604.33
15.01,1,0,501.06
15.01,1.5,0,402.53
14.99,2,0,343.27
14.99,3,0,275.16
14.99,5,0,209.58
15.01,7,0,175.32
19.99,0.15,0,
19.98,0.2,0,919.85
19.99,0.3,0,776.39
19.99,0.5,0,599.3
19.99,0.7,0,503.39
19.99,1,0,416.69
19.99,1.5,0,335.34
19.99,2,0,286.39
19.99,3,0,229.62
19.98,5,0,175.79
20,7,0,148.16
24.99,0.07,0,
25,0.1,0,934.56
25,0.15,0,858.93
24.99,0.2,0,776.4
25,0.3,0,647.14
24.99,0.5,0,499.9
25,0.7,0,419.15
24.99,1,0,347.8
24.99,1.5,0,280.73
24.99,2,0,239.62
24.99,3,0,193.35
24.99,5,0,148.99
25,7,0,125.32
30,0,0,885.45
30,0.01,0,883.45
30,0.015,0,879.68
30,0.02,0,881.78
30,0.03,0,876.73
30,0.05,0,861.49
30,0.07,0,837.03
29.99,0.1,0,789.87
30,0.15,0,713.29
30,0.2,0,636.98
29.99,0.3,0,528.24
30.01,0.5,0,408.19
30,0.7,0,342.43
30,1,0,285.79
30,1.5,0,231.96
30,2,0,198.99
30,3,0,161.18
30,5,0,124.27
30,7,0,103.96
34.98,0,0,774.28
34.99,0.01,0,771.35
34.99,0.015,0,776.21
34.99,0.02,0,774.5
34.99,0.03,0,760.13
34.99,0.05,0,755.79
35.01,0.07,0,733.49
35,0.1,0,692.32
34.99,0.15,0,613.95
34.99,0.2,0,545.43
35,0.3,0,452.12
34.99,0.5,0,349.77
34.99,0.7,0,296.17
35,1,0,246.68
34.99,1.5,0,200.44
34.98,2,0,172.73
34.99,3,0,140.41
35,5,0,107.87
35,7,0,89.22
40,0,0,673.98
40,0.01,0,674.26
40,0.015,0,672.61
40,0.02,0,673.49
40,0.03,0,669.41
40.01,0.05,0,648.87
40.01,0.07,0,621.38
40.01,0.1,0,576.87
40.01,0.15,0,503.86
40,0.2,0,447.58
40.01,0.3,0,370.33
40.01,0.5,0,288.82
40,0.7,0,244.86
40,1,0,205.1
39.99,1.5,0,167.6
40.01,2,0,144.76
40,3,0,117.28
40.01,5,0,89.27
40.01,7,0,72.53
45,0,0,582.83
45.01,0.01,0,583.44
45.01,0.015,0,589.83
45,0.02,0,582.8
45,0.03,0,568.81
45,0.05,0,561.8
45,0.07,0,535.97
45,0.1,0,494.75
45,0.15,0,431.86
45.01,0.2,0,382.28
45,0.3,0,319.2
45,0.5,0,248.37
45,0.7,0,211.76
45,1,0,177.45
45,1.5,0,144.98
45,2,0,124.83
44.99,3,0,100.66
45,5,0,75.61
45,7,0,60.5
49.98,0,0,500.93
50,0.01,0,501.34
50,0.015,0,499.24
49.99,0.02,0,496.6
50,0.03,0,490.36
50,0.05,0,470.37
49.99,0.07,0,446.21
50,0.1,0,405.93
50.01,0.15,0,352.51
50,0.2,0,311.9
50,0.3,0,261.51
50.01,0.5,0,204.31
49.99,0.7,0,173.82
50,1,0,146.7
50,1.5,0,119.42
49.99,2,0,102.25
49.99,3,0,81.66
49.99,5,0,59.72
50,7,0,46.22
54.99,0,0,424.08
54.98,0.01,0,424.88
54.99,0.015,0,424.96
54.99,0.02,0,422.51
54.98,0.03,0,417.15
54.98,0.05,0,399.05
54.99,0.07,0,379.2
54.99,0.1,0,342.9
54.99,0.15,0,297.78
54.99,0.2,0,265.19
54.99,0.3,0,221.07
54.99,0.5,0,173.03
54.99,0.7,0,146.91
54.99,1,0,123.33
55,1.5,0,99.89
55.01,2,0,84.97
55,3,0,66.87
54.99,5,0,47.58
55,7,0,35.57
59.99,0,0,354.99
59.99,0.01,0,355.11
59.99,0.015,0,354.45
59.99,0.02,0,353.1
59.99,0.03,0,346.32
59.99,0.05,0,329.77
59.99,0.07,0,310.32
59.99,0.1,0,281.9
59.99,0.15,0,244.44
59.99,0.2,0,216.91
59.98,0.3,0,180.18
59.99,0.5,0,140.65
60.01,0.7,0,115.9
59.99,1,0,96.66
60.01,1.5,0,77.66
60,2,0,65.38
60.01,3,0,50.31
60,5.001,0,33.83
59.99,7,0,23.56
64.99,0,0,293.3
64.99,0.01,0,292.06
64.99,0.015,0,289.36
64.99,0.02,0,285.93
64.99,0.03,0,279.27
64.99,0.05,0,261.2
64.99,0.07,0,242.22
65.01,0.1,0,218.68
64.98,0.15,0,187.82
64.98,0.2,0,166.77
64.98,0.3,0,137.91
64.99,0.5,0,106.53
65,0.7,0,91.87
65,1,0,76.33
65,1.5,0,60.34
64.99,2,0,50.09
65.01,3,0,37.45
65,5,0,23.6
65.02,7,0,15.14
69.99,0,0,235.76
69.99,0.01,0,232.59
69.99,0.015,0,230.07
69.98,0.02,0,226.53
69.98,0.03,0,219.19
69.99,0.05,0,202.97
69.99,0.07,0,186.09
69.99,0.1,0,165.63
69.99,0.15,0,141.35
69.99,0.2,0,124.49
69.99,0.3,0,102.02
69.99,0.5,0,78.38
69.99,0.7,0,65.25
69.99,1,0,53.32
69.99,1.5,0,41.36
69.99,2,0,33.48
70.01,3,0,23.63
69.99,5,0,12.79
70,7,0,6.66
75,0,0,179.54
75,0.01,0,178.26
75,0.015,0,175.67
75,0.02,0,172.83
75,0.03,0,166.13
75,0.05,0,150.25
75,0.07,0,136.09
75.01,0.1,0,119.72
75,0.15,0,100.79
75,0.2,0,87.96
75,0.3,0,71.47
75,0.5,0,54.05
75,0.7,0,44.52
75,1,0,35.68
75,1.5,0,26.46
75,2,0,20.65
75.01,3,0,13.3
75,5,0,5.6
75.01,7,0,1.99
77.5,0,0,152.15
77.49,0.01,0,147.68
77.49,0.015,0,144.72
77.49,0.02,0,141.08
77.49,0.03,0,132.95
77.49,0.05,0,117.9
77.49,0.07,0,105.58
77.49,0.1,0,92.37
77.49,0.15,0,77.27
77.49,0.2,0,67.38
77.5,0.3,0,54.51
77.5,0.5,0,40.73
77.5,0.7,0,33.34
77.5,1,0,26.09
77.49,1.5,0,18.85
77.5,2,0,14
77.51,3,0,8.04
77.5,5,0,2.37
77.5,7,0,0.45
80.01,0,0,123.85
80.01,0.01,0,121.8
80.01,0.015,0,119.05
80.01,0.02,0,115.73
80.01,0.03,0,107.87
80.01,0.05,0,94.03
80.01,0.07,0,83.99
80.01,0.1,0,72.69
80.01,0.15,0,60.22
80.01,0.2,0,52.25
80.01,0.3,0,41.8
80.01,0.5,0,30.8
80.01,0.7,0,24.74
80.01,1,0,19.05
80.01,1.5,0,13
80.01,2,0,9.18
80.01,3,0,4.58
80.01,5,0,0.81
80,7,0,0.02
85.01,0,0,68.1
85.02,0.01,0,64.94
85.01,0.015,0,61.66
85.01,0.02,0,58.2
85.01,0.03,0,52.27
85.01,0.05,0,43.67
85.01,0.07,0,38.36
85.01,0.1,0,32.46
85.01,0.15,0,26.31
85.01,0.2,0,22.39
85.01,0.3,0,17.48
85.01,0.5,0,12.08
85.01,0.7,0,8.93
85,1,0,6
85.01,1.5,0,3.02
85.01,2,0,1.37
85.01,3,0,0.13
85.01,5,0,
90.01,0,0,15.92
90.01,0.01,0,12.53
90,0.015,0,11.37
90.01,0.02,0,10.37
90.02,0.03,0,8.83
90.01,0.05,0,7.05
90.01,0.07,0,5.78
90.01,0.1,0,4.55
90.01,0.15,0,3.34
90.01,0.2,0,2.54
90.01,0.3,0,1.5
90.01,0.5,0,0.52
90.02,0.7,0,0.13
90.01,1,0,0.04
90.01,1.5,0,
90.01,2,0,
90.01,3,0,
90.01,5,0,